text,datum,statsminister
"Regeringsförklaring, 19761008, Torbjörn Fälldin",1976-10-08,Torbjörn Fälldin
Regeringspartierna är ense om att finansdepartementet så snart som möjligt – efter samråd med berörd personal – skall delas i ett ekonomidepartement och ett budgetdepartement. Chef för ekonomidepartementet blir statsrådet Gösta Bohman. Chef för budgetdepartementet blir statsrådet Ingemar Mundebo.,1976-10-08,Torbjörn Fälldin
I anslutning till denna anmälan vill jag ge riksdagen till känna följande:,1976-10-08,Torbjörn Fälldin
"Enighet har alltså nåtts mellan Centerpartiet, Folkpartiet och Moderata samlingspartiet om att bilda regering. Dess politik under mandatperioden skall grundas på de riktlinjer som anges i denna regeringsförklaring.",1976-10-08,Torbjörn Fälldin
Med fasthet och ansvar skall vi föra en politik i hela folkets intresse. Därvid skall vi söka ett så brett samförstånd som möjligt.,1976-10-08,Torbjörn Fälldin
Regeringen skall sträva efter att bryta tendenser till maktkoncentration och verka för decentralisering och närdemokrati. Vi skall föra vidare en socialt inriktad reformpolitik och främja en utveckling som stärker den enskildes valfrihet. Vi skall värna och utveckla vårt fria och öppna samhälle.,1976-10-08,Torbjörn Fälldin
Tryggheten för alla generationer och grupper står i centrum för vår politik. Solidariteten kräver att reformer för de sämst ställda sätts främst. Arbetslivets förnyelse förs vidare. Det skall ske i nära samverkan med löntagarnas och näringslivets organisationer. Jämställdhet mellan kvinnor och män är en självklar utgångspunkt för regeringens politik.,1976-10-08,Torbjörn Fälldin
Den sociala marknadshushållningen förstärks genom åtgärder som främjar konkurrensen och motverkar såväl enskild som offentlig maktkoncentration.,1976-10-08,Torbjörn Fälldin
Regeringen skall föra en politik för sysselsättning och boende i alla delar av landet.,1976-10-08,Torbjörn Fälldin
Sträng hushållning måste ske med naturtillgångarna. Tekniken måste anpassas till kraven på en god miljö och ett samhälle i ekologisk balans.,1976-10-08,Torbjörn Fälldin
"Grunden för ett framgångsrikt reformarbete är en stark ekonomi. En bättre skattepolitik, en näringspolitik som tar vara på utvecklingskraften också i de mindre företagen samt en aktiv konjunkturpolitik är viktiga instrument för att trygga arbete åt alla. Sociala reformer ges en ansvarsfull finansiering och genomföres i den takt som det ekonomiska utrymmet medger.",1976-10-08,Torbjörn Fälldin
"Sveriges utrikespolitik skall trygga vårt lands självständighet och demokratiska samhällsordning. Den skall medverka till fred och frihet, trygghet och rättvisa för världens folk.",1976-10-08,Torbjörn Fälldin
Den alliansfria politiken i fred syftande till neutralitet i krig ligger fast. Den tryggas genom ett starkt försvar.,1976-10-08,Torbjörn Fälldin
Det nordiska samarbetet vidareutvecklas. Förbindelserna med Europa fördjupas. Ett fortsatt starkt stöd ges till Förenta nationerna.,1976-10-08,Torbjörn Fälldin
Vår anslutning till tankarna bakom en ny ekonomisk världsordning är ett uttryck för den solidaritet vi känner med fattiga och förtryckta folk. Regeringen avser att ge ett ökat stöd till kampen för frigörelse i södra Afrika.,1976-10-08,Torbjörn Fälldin
"Sverige måste öka sina insatser i kampen mot nöd och hunger i de fattiga länderna. Enprocentsmålet för vårt bistånd skall ses som ett etappmål. Det svenska utvecklingssamarbetet med de fattiga länderna skall utformas så, att det främjar social och ekonomisk utjämning. Biståndet inriktas på människorna i de fattigaste länderna.",1976-10-08,Torbjörn Fälldin
I takt med kärnenergins expansion har hotet om spridning av kärnvapen ökat drastiskt. Regeringen kommer att arbeta för en internationell överenskommelse för att stoppa export av kärnkraftsteknologi till länder som inte underskrivit ickespridningsavtalet. Instruktioner i enlighet härmed kommer att ges den svenska nedrustningsdelegationen.,1976-10-08,Torbjörn Fälldin
"Riksdagen skall inom kort ta ställning till vilande grundlagsförslag. Ytterligare förstärkt grundlagsskydd för de medborgerliga fri- och rättigheterna prövas skyndsamt. Proposition härom föreläggs riksdagen under valperioden. Förslag läggs fram om obligatorisk lagrådsgranskning av vissa lagar, beslutande folkomröstning i grundlagsfrågor och utvidgad rösträtt för utlandssvenskar.",1976-10-08,Torbjörn Fälldin
Samtalen mellan Svenska kyrkan och staten fullföljs.,1976-10-08,Torbjörn Fälldin
"Den enskildes rättsskydd skall förstärkas. Datalagen skärps för att öka skyddet för den enskildes integritet. Byråkratiseringen av vårt samhälle måste brytas. Kraftfulla insatser skall göras mot krångel, onödig centralstyrning och svårbegripligt myndighetsspråk.",1976-10-08,Torbjörn Fälldin
Kommunernas självstyrelse förstärks. Den kommunala demokratin fördjupas. Kommunerna ges möjligheter att inrätta distriktsnämnder och direktvalda kommundelsråd. Den statliga detaljstyrningen av kommuner och landsting minskas. Rådgivande kommunala folkomröstningar möjliggöres. Kommunindelningsreformen skall utvärderas. Regeringen är beredd att positivt pröva framställningar om ändringar i den kommunala indelningen som är motiverade av hänsyn till den kommunala demokratin.,1976-10-08,Torbjörn Fälldin
"En länsdemokratireform påbörjas. Centrala uppgifter, särskilt vad gäller regional planering, överförs från de statliga länsstyrelserna till de folkvalda landstingen. Förslag läggs fram om att samtliga lekmannaledamöter av länsstyrelserna skall tillsättas av landstingen.",1976-10-08,Torbjörn Fälldin
Samhällsekonomin och utrikeshandeln påverkas alltjämt ofördelaktigt av den ekonomiska utvecklingen i vår omvärld. Det svenska näringslivets internationella konkurrenskraft har dessutom försvagats. Kostnaderna har ökat snabbare än i jämförbara länder och inflationen ligger kvar på en oacceptabelt hög nivå. Handels- och bytesbalansen har inte förbättrats på det sätt som tidigare förutsetts. Industriproduktionen utvecklas svagt.,1976-10-08,Torbjörn Fälldin
Den svenska ekonomin står således inför svåra problem. Det framstår som en avgörande uppgift under de närmaste åren att skapa balans i samhällsekonomin och att stärka den internationella konkurrenskraften. Detta är också en grundläggande förutsättning för att förverkliga en målmedveten reformpolitik och för att trygga sysselsättning och framsteg.,1976-10-08,Torbjörn Fälldin
Den ekonomiska politiken måste därför i hög grad inriktas på att underlätta en utbyggnad av näringslivet och en ökning av exporten. Målet är att inom rimlig tid återställa balansen i utrikesbetalningarna och stegvis minska behovet av utländsk upplåning. Det måste ske i former som tryggar arbete åt alla och underlättar en effektiv kamp mot inflationen. Näringslivets investeringar måste stimuleras och ansträngningarna att öka exporten underlättas.,1976-10-08,Torbjörn Fälldin
"Regeringen kommer senare i höst att inbjuda löntagarnas och näringslivets organisationer till överläggningar om en ekonomisk politik som kan trygga arbete åt alla, öka konkurrenskraften och minska prisstegringarna.",1976-10-08,Torbjörn Fälldin
"Som ett led i denna politik måste budgetpolitiken utformas så, att staten inte tar i anspråk det för näringslivet nödvändiga utrymmet på lånemarknaden. En hård prövning av nya utgiftsåtaganden från det allmännas sida blir nödvändig. Möjligheterna att snabbt reducera det statliga budgetunderskottet är dock begränsade. Stora automatiska utgiftsökningar kan förutses de närmaste åren.",1976-10-08,Torbjörn Fälldin
Åtgärder måste därför också vidtas får att stödja det enskilda sparandet. Förslag till sparstimulerande åtgärder kommer att läggas fram.,1976-10-08,Torbjörn Fälldin
"En skatteomläggning genomförs för 1977 i syfte att underlätta den förestående lönerörelsen. Utöver de sänkningar av statsskatten som föreslagits i tidigare proposition till riksdagen kommer regeringen att föreslå sänkt marginalskatt också på inkomster mellan 50 000 och 65 000 kr. Det avgiftsfria beloppet vid uttaget av allmän arbetsgivaravgift på företagares och fria yrkesutövares egna inkomster höjs till 30 000 kr. Skatteomläggningen motsvarar en arbetsgivaravgiftshöjning med 1,5 %. Den exakta utformningen av skatteskalan och åtgärder ägnade att tillföra statskassan erforderliga inkomster fastställs efter hörande av arbetsmarknadens parter. Möjligheterna att ge företagen dispens från energiskatt utnyttjas inte i samma utsträckning som hittills.",1976-10-08,Torbjörn Fälldin
"Skattesystemet måste reformeras. En varaktig skattereform skall innehålla bl.a. sänkta marginalskatter i vanliga inkomstlägen, inflationsskydd i skattesystemet samt åtgärder får att hålla tillbaka de kommunala skattehöjningarna.",1976-10-08,Torbjörn Fälldin
Avdragsrätt vid beskattningen införs för gåvor till ideella och humanitära ändamål.,1976-10-08,Torbjörn Fälldin
Det arbete som pågår i syfte att bekämpa skattefusk och skatteflykt fullföljs.,1976-10-08,Torbjörn Fälldin
